OA,ts006_0001
E00061392,4972.9
E00061396,5754.7
E00061397,5098
E00061338,369.7
E00061340,3418.4
E00061342,3229.2
E00061344,1960.3
E00061345,5482.4
E00061336,620.9
E00061348,4382.9
E00061349,5261.1
E00061351,5285.7
E00188175,117.2
E00188208,5262.3
E00188270,5415.4
E00061337,2420.7
E00061339,107.8
E00061341,2956.3
E00061343,860.3
E00061346,50.6
E00061350,4506.3
E00061353,7703
E00061354,7971.4
E00061355,1161.4
E00061356,4162.4
E00188178,4289.7
E00188278,4076.5
E00188280,2197.4
E00060999,847.7
E00061000,681.8
E00061001,1096
E00061002,15465.1
E00061003,323.1
E00061192,3465.3
E00061195,6051.7
E00061196,5139.1
E00061202,912.2
E00061204,1973.3
E00061193,820.4
E00061194,14463.3
E00061205,982.3
E00061210,7635.8
E00061211,4150.3
E00174135,6062.8
E00188173,599.5
E00061083,6410.3
E00061085,6073.1
E00061086,3689.3
E00061087,251.2
E00061088,6178.3
E00061089,5792.3
E00061251,7030
E00061252,6666.7
E00061253,4398.2
E00061254,4892.6
E00061256,3333.3
E00061248,5705.8
E00061261,4492
E00061265,4858.1
E00061266,3089.6
E00061269,4758.1
E00061249,392.9
E00061260,1882
E00061262,1611.5
E00061267,4102.9
E00061183,63.2
E00061184,899.9
E00061185,10
E00061186,3518.5
E00061187,7021.9
E00061188,2204
E00061189,3784.9
E00061190,1025.2
E00061191,1349.7
E00061198,531.3
E00061201,2490.5
E00061207,18
E00061199,2135.4
E00061200,3177.6
E00061203,19.1
E00061206,5549.3
E00061440,1288.4
E00061441,1989.8
E00061442,35.4
E00061443,314.2
E00061444,3475.3
E00061111,3526
E00061112,8409.8
E00061126,7727.3
E00061127,4007.2
E00061131,2847.6
E00188251,2778.8
E00188274,2413.1
E00188333,2144.3
E00061110,8622.8
E00061114,7777.8
E00061129,8036.2
E00061133,6288.3
E00061134,10176.1
E00061118,17.4
E00061128,2308.2
E00061130,3673.7
E00061132,5285.7
E00174121,9940.5
E00174126,3068.1
E00174127,2145.5
E00061109,3501.3
E00061121,8256.4
E00061122,6540.1
E00061124,6781
E00061125,435.8
E00061139,2071.6
E00061140,2605.6
E00061141,2397.1
E00061145,2806.4
E00061150,725.9
E00165767,3911.8
E00061136,4085.4
E00061138,3441.6
E00061157,2442.4
E00165768,2641
E00188203,3274.4
E00188209,4912.6
E00188225,3914.3
E00188299,4894.4
E00061144,8052.8
E00061147,7937.9
E00061148,8352.6
E00061151,8527.8
E00061152,3771
E00061153,4400
E00061154,7244.1
E00165766,6633.4
E00061115,1911.8
E00061116,5597.3
E00061117,4571.4
E00061119,10.7
E00061120,2914.4
E00061142,966.1
E00061143,3014.1
E00061146,3677.8
E00061149,3216.7
E00061155,18.7
E00061430,4319.7
E00061433,30.4
E00061434,4891.5
E00061435,3832.9
E00061436,3714.8
E00061431,5690
E00061432,143
E00061437,4807
E00061438,5075.2
E00061439,7222.2
E00061258,1977.6
E00061263,6472
E00061264,7780.5
E00061268,5792.8
E00061270,5042.2
E00061271,1000.7
E00061278,8900.7
E00061279,5008.9
E00061280,3653.6
E00061281,6969.7
E00061283,5651
E00061282,419.4
E00061284,3802.5
E00061285,4208.8
E00061286,1854.7
E00061287,1620.2
E00061273,1987.1
E00061288,4475.8
E00061289,1449
E00061290,1188.7
E00061291,2592.9
E00061272,2825.9
E00061274,638.5
E00061275,5426.4
E00165820,1318.7
E00165821,4826.4
E00061250,1928
E00061255,2282.3
E00061257,3226.5
E00061259,3779.1
E00061361,4780.2
E00061379,6752.9
E00061380,2245.9
E00061382,1000.7
E00188289,5538.8
E00188309,1554.5
E00061359,8583.6
E00061360,5055.1
E00061362,6392.3
E00061363,8229.2
E00061381,2794.4
E00188193,2604
E00188263,2336.6
E00061364,1053.6
E00061365,256.7
E00061366,5036.2
E00061369,4755.9
E00061370,5537.4
E00061395,2616
E00061399,1895
E00061400,3338
E00061401,5044.6
E00061394,2669.6
E00061398,2797.2
E00061402,5814.5
E00061403,5193.1
E00061358,5503.1
E00061372,7462.7
E00061374,1461.8
